[2025-11-10 23:09:14] [INFO    ] discord.client: logging in using static token
[2025-11-10 23:09:15] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_CREATE', 's': 2, 'op': 0, 'd': {'members': [{'user': {'username': 'SOC BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1437509702459195443', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0059', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '28c951f36e6fe1116dcb636c73aa49c8'}, 'roles': ['1437529665198755963'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-10T19:49:40.274824+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'premium_subscription_count': 0, 'rules_channel_id': None, 'presences': [], 'system_channel_flags': 0, 'latest_onboarding_question_id': None, 'max_stage_video_channel_users': 50, 'default_message_notifications': 0, 'roles': [{'version': 0, 'unicode_emoji': None, 'tags': {}, 'position': 0, 'permissions': '2248473465835073', 'name': '@everyone', 'mentionable': False, 'managed': False, 'id': '709707367645708308', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}, {'version': 1762804180252, 'unicode_emoji': None, 'tags': {'bot_id': '1437509702459195443'}, 'position': 1, 'permissions': '563276639759424', 'name': 'SOC BOT', 'mentionable': False, 'managed': True, 'id': '1437529665198755963', 'icon': None, 'hoist': False, 'flags': 0, 'colors': {'tertiary_color': None, 'secondary_color': None, 'primary_color': 0}, 'color': 0}], 'public_updates_channel_id': None, 'incidents_data': None, 'channels': [{'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Text Channels', 'id': '709707367645708309', 'flags': 0}, {'version': 0, 'type': 4, 'position': 0, 'permission_overwrites': [], 'name': 'Voice Channels', 'id': '709707367645708310', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '709707367645708309', 'name': 'general', 'last_message_id': '1437579866311626752', 'id': '709707367645708311', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 0, 'permission_overwrites': [], 'parent_id': '709707367645708310', 'name': 'General', 'last_message_id': None, 'id': '709707367645708312', 'flags': 0, 'bitrate': 64000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '709707367645708309', 'name': 'rants', 'last_message_id': '965369462872244246', 'id': '928421842199388281', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 2, 'permission_overwrites': [], 'parent_id': '709707367645708309', 'name': 'the-funny', 'last_message_id': None, 'id': '928421921354289255', 'flags': 0}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 3, 'permission_overwrites': [{'type': 0, 'id': '709707367645708308', 'deny': '1024', 'allow': '0'}], 'parent_id': '709707367645708310', 'name': 'therapy', 'last_message_id': None, 'id': '928422033082159106', 'flags': 0}, {'version': 0, 'user_limit': 0, 'type': 2, 'rtc_region': None, 'rate_limit_per_user': 0, 'position': 1, 'permission_overwrites': [], 'parent_id': '709707367645708310', 'name': 'Music only', 'last_message_id': None, 'id': '928422649821003806', 'flags': 0, 'bitrate': 96000}, {'version': 0, 'type': 0, 'topic': None, 'rate_limit_per_user': 0, 'position': 4, 'permission_overwrites': [], 'parent_id': '709707367645708310', 'name': 'chill', 'last_message_id': None, 'id': '928422676832329759', 'flags': 0}], 'vanity_url_code': None, 'profile': None, 'nsfw': False, 'guild_scheduled_events': [], 'system_channel_id': '709707367645708311', 'owner_configured_content_level': 0, 'id': '709707367645708308', 'icon': None, 'voice_states': [], 'application_id': None, 'safety_alerts_channel_id': None, 'name': "ponyraider's server", 'explicit_content_filter': 0, 'moderator_reporting': None, 'max_members': 25000000, 'mfa_level': 0, 'inventory_settings': None, 'threads': [], 'afk_channel_id': None, 'max_video_channel_users': 25, 'embedded_activities': [], 'unavailable': False, 'premium_progress_bar_enabled': False, 'nsfw_level': 0, 'description': None, 'premium_tier': 0, 'joined_at': '2025-11-10T19:49:40.274824+00:00', 'stage_instances': [], 'home_header': None, 'emojis': [], 'activity_instances': [], 'afk_timeout': 300, 'verification_level': 0, 'premium_features': None, 'lazy': True, 'member_count': 2, 'region': 'deprecated', 'soundboard_sounds': [], 'version': 1678829380605, 'stickers': [], 'application_command_counts': {}, 'discovery_splash': None, 'splash': None, 'large': False, 'hub_type': None, 'owner_id': '647783236562583552', 'banner': None, 'features': [], 'preferred_locale': 'en-US'}}
[2025-11-10 23:09:15] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:09:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'GUILD_MEMBERS_CHUNK', 's': 3, 'op': 0, 'd': {'nonce': 'c713e14f240e7ca16c8af76ee0b3eb24', 'members': [{'user': {'username': 'waithan', 'public_flags': 256, 'primary_guild': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'id': '647783236562583552', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-05-12T10:03:42.175000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, {'user': {'username': 'SOC BOT', 'public_flags': 0, 'primary_guild': None, 'id': '1437509702459195443', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0059', 'collectibles': None, 'bot': True, 'avatar_decoration_data': None, 'avatar': '28c951f36e6fe1116dcb636c73aa49c8'}, 'roles': ['1437529665198755963'], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2025-11-10T19:49:40.274824+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}], 'guild_id': '709707367645708308', 'chunk_index': 0, 'chunk_count': 1}}
[2025-11-10 23:09:16] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:09:16] [DEBUG   ] discord.state: Processed a chunk for 2 members in guild ID 709707367645708308.
[2025-11-10 23:09:17] [DEBUG   ] discord.client: Dispatching event guild_available
[2025-11-10 23:09:17] [DEBUG   ] discord.client: Dispatching event ready
[2025-11-10 23:09:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 4, 'op': 0, 'd': {'user_id': '647783236562583552', 'timestamp': 1762816161, 'member': {'user': {'username': 'waithan', 'public_flags': 256, 'primary_guild': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'id': '647783236562583552', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-05-12T10:03:42.175000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '709707367645708311', 'guild_id': '709707367645708308'}}
[2025-11-10 23:09:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:09:21] [DEBUG   ] discord.client: Dispatching event typing
[2025-11-10 23:09:21] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-11-10 23:09:21] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 5, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-10T23:09:21.539000+00:00', 'pinned': False, 'nonce': '1437579914785062912', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-05-12T10:03:42.175000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1437579918606073898', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '709707367645708311', 'author': {'username': 'waithan', 'public_flags': 256, 'primary_guild': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'id': '647783236562583552', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'avatar_decoration_data': None, 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc'}, 'attachments': [], 'guild_id': '709707367645708308'}}
[2025-11-10 23:09:21] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:09:21] [DEBUG   ] discord.client: Dispatching event message
[2025-11-10 23:09:21] [DEBUG   ] discord.client: Dispatching event command_error
[2025-11-10 23:09:21] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "hello" is not found
[2025-11-10 23:09:56] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 5.
[2025-11-10 23:09:56] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-10 23:10:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'TYPING_START', 's': 6, 'op': 0, 'd': {'user_id': '647783236562583552', 'timestamp': 1762816208, 'member': {'user': {'username': 'waithan', 'public_flags': 256, 'primary_guild': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'id': '647783236562583552', 'global_name': None, 'display_name_styles': None, 'display_name': None, 'discriminator': '0', 'collectibles': None, 'bot': False, 'avatar_decoration_data': None, 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc'}, 'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-05-12T10:03:42.175000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'channel_id': '709707367645708311', 'guild_id': '709707367645708308'}}
[2025-11-10 23:10:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:10:09] [DEBUG   ] discord.client: Dispatching event typing
[2025-11-10 23:10:09] [DEBUG   ] discord.client: Dispatching event raw_typing
[2025-11-10 23:10:09] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'MESSAGE_CREATE', 's': 7, 'op': 0, 'd': {'type': 0, 'tts': False, 'timestamp': '2025-11-10T23:10:09.943000+00:00', 'pinned': False, 'nonce': '1437580117764210688', 'mentions': [], 'mention_roles': [], 'mention_everyone': False, 'member': {'roles': [], 'premium_since': None, 'pending': False, 'nick': None, 'mute': False, 'joined_at': '2020-05-12T10:03:42.175000+00:00', 'flags': 0, 'deaf': False, 'communication_disabled_until': None, 'banner': None, 'avatar': None}, 'id': '1437580121627426917', 'flags': 0, 'embeds': [], 'edited_timestamp': None, 'content': '!hello', 'components': [], 'channel_type': 0, 'channel_id': '709707367645708311', 'author': {'username': 'waithan', 'public_flags': 256, 'primary_guild': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'id': '647783236562583552', 'global_name': None, 'display_name_styles': None, 'discriminator': '0', 'collectibles': None, 'clan': {'tag': 'MꚘSE', 'identity_guild_id': '116010036085391369', 'identity_enabled': True, 'badge': '9552f734ce76e28ed73fe7568b528e07'}, 'avatar_decoration_data': None, 'avatar': '6ca29c57b0b2fbe02a152e31f1272ddc'}, 'attachments': [], 'guild_id': '709707367645708308'}}
[2025-11-10 23:10:09] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:10:09] [DEBUG   ] discord.client: Dispatching event message
[2025-11-10 23:10:09] [DEBUG   ] discord.client: Dispatching event command_error
[2025-11-10 23:10:09] [ERROR   ] discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "hello" is not found
[2025-11-10 23:10:40] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-11-10 23:10:41] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: Keeping shard ID None websocket alive with sequence 7.
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: Received WSMessage(type=<WSMsgType.CLOSED: 257>, data=None, extra=None)
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: Websocket closed with WSCloseCode.OK, attempting a reconnect.
[2025-11-10 23:13:48] [DEBUG   ] discord.client: Got a request to RESUME the websocket.
[2025-11-10 23:13:48] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-b.discord.gg
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-spgt",{"micros":0.0}]']}}
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: Shard ID None has sent the RESUME payload.
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 9, 'd': False}
[2025-11-10 23:13:48] [INFO    ] discord.gateway: Shard ID None session has been invalidated.
[2025-11-10 23:13:48] [DEBUG   ] discord.client: Got a request to IDENTIFY the websocket.
[2025-11-10 23:13:48] [DEBUG   ] discord.client: Dispatching event disconnect
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway-us-east1-b.discord.gg
[2025-11-10 23:13:48] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-6v1n",{"micros":0.0}]']}}
[2025-11-10 23:13:53] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-11-10 23:13:53] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-11-10 23:13:54] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'SOC BOT', 'primary_guild': None, 'mfa_enabled': True, 'id': '1437509702459195443', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '0059', 'clan': None, 'bot': True, 'avatar': '28c951f36e6fe1116dcb636c73aa49c8'}, 'session_type': 'normal', 'session_id': '8f2412c410bd828ecd1fa89607d9cf44', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '709707367645708308'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['london', 'rotterdam', 'paris', 'frankfurt', 'milan'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1437509702459195443', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-6v1n",{"micros":101571,"calls":["id_created",{"micros":882,"calls":[]},"session_lookup_time",{"micros":1264,"calls":[]},"session_lookup_finished",{"micros":13,"calls":[]},"discord-sessions-prd-2-1",{"micros":98897,"calls":["start_session",{"micros":88803,"calls":["discord-api-rpc-6cc75c5dd7-ppx9v",{"micros":41207,"calls":["get_user",{"micros":7108},"get_guilds",{"micros":5460},"send_scheduled_deletion_message",{"micros":13},"guild_join_requests",{"micros":147},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":34311},"apex_experiments",{"micros":4018},"user_activities",{"micros":5},"played_application_ids",{"micros":2},"linked_users",{"micros":2}]}]},"starting_guild_connect",{"micros":30,"calls":[]},"presence_started",{"micros":271,"calls":[]},"guilds_started",{"micros":54,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":9714,"calls":[]},"connect_finished",{"micros":9723,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":1,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":0,"calls":[]}]}]}]']}}
[2025-11-10 23:13:54] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-11-10 23:13:54] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 8f2412c410bd828ecd1fa89607d9cf44).
[2025-11-10 23:13:54] [DEBUG   ] discord.client: Dispatching event connect
